H1 10, H2 23, Mean daily skill: -4%, Daily Skills >0: 51%
H1 11, H2 16, Mean daily skill: -1%, Daily Skills >0: 46%
H1 11, H2 17, Mean daily skill: -0%, Daily Skills >0: 49%
H1 11, H2 18, Mean daily skill: 0%, Daily Skills >0: 51%
H1 11, H2 19, Mean daily skill: 1%, Daily Skills >0: 51%
H1 11, H2 20, Mean daily skill: 1%, Daily Skills >0: 51%
H1 11, H2 21, Mean daily skill: -0%, Daily Skills >0: 51%
H1 11, H2 22, Mean daily skill: -2%, Daily Skills >0: 51%
H1 11, H2 23, Mean daily skill: -5%, Daily Skills >0: 51%
H1 12, H2 17, Mean daily skill: -1%, Daily Skills >0: 57%
H1 12, H2 18, Mean daily skill: -1%, Daily Skills >0: 57%
H1 12, H2 19, Mean daily skill: -0%, Daily Skills >0: 57%
H1 12, H2 20, Mean daily skill: -0%, Daily Skills >0: 57%
H1 12, H2 21, Mean daily skill: -1%, Daily Skills >0: 54%
H1 12, H2 22, Mean daily skill: -3%, Daily Skills >0: 51%
H1 12, H2 23, Mean daily skill: -6%, Daily Skills >0: 51%
H1 13, H2 18, Mean daily skill: -1%, Daily Skills >0: 51%
H1 13, H2 19, Mean daily skill: -0%, Daily Skills >0: 54%
H1 13, H2 20, Mean daily skill: -0%, Daily Skills >0: 51%
H1 13, H2 21, Mean daily skill: -1%, Daily Skills >0: 51%
H1 13, H2 22, Mean daily skill: -3%, Daily Skills >0: 46%
H1 13, H2 23, Mean daily skill: -6%, Daily Skills >0: 43%
H1 14, H2 19, Mean daily skill: -0%, Daily Skills >0: 43%
H1 14, H2 20, Mean daily skill: -0%, Daily Skills >0: 46%
H1 14, H2 21, Mean daily skill: -1%, Daily Skills >0: 46%
H1 14, H2 22, Mean daily skill: -3%, Daily Skills >0: 40%
H1 14, H2 23, Mean daily skill: -5%, Daily Skills >0: 40%
H1 15, H2 20, Mean daily skill: 1%, Daily Skills >0: 54%
H1 15, H2 21, Mean daily skill: 1%, Daily Skills >0: 54%
H1 15, H2 22, Mean daily skill: -2%, Daily Skills >0: 46%
H1 15, H2 23, Mean daily skill: -4%, Daily Skills >0: 40%
H1 16, H2 21, Mean daily skill: 1%, Daily Skills >0: 51%
H1 16, H2 22, Mean daily skill: -1%, Daily Skills >0: 43%
H1 16, H2 23, Mean daily skill: -4%, Daily Skills >0: 31%
H1 17, H2 22, Mean daily skill: -2%, Daily Skills >0: 43%
H1 17, H2 23, Mean daily skill: -4%, Daily Skills >0: 29%
H1 18, H2 23, Mean daily skill: -5%, Daily Skills >0: 29%
