,offset,h1,h2,skills_mean,skills_pos
199,0.0,15.0,24.0,0.026,0.6
200,0.0,16.0,21.0,0.009,0.56
201,0.0,16.0,22.0,0.014,0.56
202,0.0,16.0,23.0,0.016,0.56
203,0.0,16.0,24.0,0.017,0.56
204,0.0,17.0,22.0,0.011,0.56
205,0.0,17.0,23.0,0.013,0.56
206,0.0,17.0,24.0,0.014,0.56
207,0.0,18.0,23.0,0.018,0.56
208,0.0,18.0,24.0,0.019,0.56
209,0.0,19.0,24.0,0.014,0.6
